symbol,window,stop_multiplier,target_multiplier,total_return_pct,sharpe_ratio,max_drawdown_pct,trade_count
SPY,2016-09-19..2021-09-14,1.0,2.0,2.864381295655649,0.6421174388418097,1.1910986041789247,372
SPY,2016-09-19..2021-09-14,1.0,3.0,3.2687610630149466,0.6843631388079195,1.3195231781179266,277
SPY,2016-09-19..2021-09-14,1.0,4.0,4.9346038304585615,0.9866102387601974,1.6481188807810492,198
SPY,2016-09-19..2021-09-14,1.0,6.0,3.921825653469413,0.7687844748948212,1.634331249617542,156
SPY,2016-09-19..2021-09-14,1.5,2.0,3.06572432673069,0.6646761484031468,1.4286578357997086,303
SPY,2016-09-19..2021-09-14,1.5,3.0,3.955672188107995,0.8012906316042893,1.4818817075124597,215
SPY,2016-09-19..2021-09-14,1.5,4.0,4.560662069540888,0.8966052441502568,1.695414145444164,167
SPY,2016-09-19..2021-09-14,1.5,6.0,4.5350652742650155,0.862361229368565,1.7437824046126222,130
SPY,2016-09-19..2021-09-14,2.0,2.0,2.441173912681305,0.506154145578643,2.012163267581003,266
SPY,2016-09-19..2021-09-14,2.0,3.0,2.7906694778993213,0.5510857572369805,1.8077778246696214,187
SPY,2016-09-19..2021-09-14,2.0,4.0,3.5846130620558414,0.679448924902738,2.131049262414358,141
SPY,2016-09-19..2021-09-14,2.0,6.0,3.183363908625414,0.5939947325162075,2.258274689487183,113
SPY,2016-09-19..2021-09-14,3.0,2.0,1.6577088465902445,0.3267074446031187,2.23732400744584,207
SPY,2016-09-19..2021-09-14,3.0,3.0,2.9836100021283007,0.5628096048160428,2.2016624725912384,142
SPY,2016-09-19..2021-09-14,3.0,4.0,3.366444514924072,0.6193093463734217,2.43692822271229,112
SPY,2016-09-19..2021-09-14,3.0,6.0,3.700596245866561,0.6648723188395321,2.5226561512466215,86
SPY,2016-09-19..2021-09-14,4.0,2.0,1.0650219794787974,0.204081659164678,2.6268414326221863,173
SPY,2016-09-19..2021-09-14,4.0,3.0,2.2958736989922013,0.41991722625195127,2.3983627156303067,127
SPY,2016-09-19..2021-09-14,4.0,4.0,2.680076557497646,0.47801708214323235,2.5495302669029756,98
SPY,2016-09-19..2021-09-14,4.0,6.0,2.743110392201409,0.48092161934269445,2.660978364480587,68
SPY,2021-09-15..2026-09-17,1.0,2.0,4.1390936063755435,0.8054244092644615,1.2883958250512064,341
SPY,2021-09-15..2026-09-17,1.0,3.0,5.411062176314307,0.9743928479810993,1.2342783905926737,234
SPY,2021-09-15..2026-09-17,1.0,4.0,4.999199531270859,0.9021491031815267,1.1628863842453716,199
SPY,2021-09-15..2026-09-17,1.0,6.0,5.358263332582536,0.9414410724810252,1.1361102559679839,131
SPY,2021-09-15..2026-09-17,1.5,2.0,3.34041065681816,0.6279777129712822,1.374966853213095,278
SPY,2021-09-15..2026-09-17,1.5,3.0,5.190105060118255,0.9134427373083118,1.2407167939358623,176
SPY,2021-09-15..2026-09-17,1.5,4.0,5.391227137608334,0.9493968117989889,1.2320232035402559,154
SPY,2021-09-15..2026-09-17,1.5,6.0,4.640767586397643,0.822073811745405,1.2839438149024356,104
SPY,2021-09-15..2026-09-17,2.0,2.0,2.1529479439535537,0.39585603137848907,1.436126879585611,224
SPY,2021-09-15..2026-09-17,2.0,3.0,3.999021395639879,0.703878972584735,1.1780828188504824,151
SPY,2021-09-15..2026-09-17,2.0,4.0,4.385385030358613,0.7654263726660264,1.3262449626093327,122
SPY,2021-09-15..2026-09-17,2.0,6.0,5.0237973398268965,0.8996639488663171,1.3330158688623892,77
SPY,2021-09-15..2026-09-17,3.0,2.0,3.9609169050922155,0.7043346236751428,1.5854699509141565,160
SPY,2021-09-15..2026-09-17,3.0,3.0,4.474557589789496,0.7752356433482565,1.706102772010333,110
SPY,2021-09-15..2026-09-17,3.0,4.0,4.20107905076641,0.7222209641544185,1.624741394108347,83
SPY,2021-09-15..2026-09-17,3.0,6.0,4.661873301662123,0.8232133375618483,1.6726098358266126,59
SPY,2021-09-15..2026-09-17,4.0,2.0,4.671139985499995,0.8108199407256423,1.3404540736615131,131
SPY,2021-09-15..2026-09-17,4.0,3.0,4.638381489150678,0.7895310824173926,1.3718867301165405,94
SPY,2021-09-15..2026-09-17,4.0,4.0,5.354363327274547,0.9072775435844415,1.2603331054942135,69
SPY,2021-09-15..2026-09-17,4.0,6.0,4.6826558476972036,0.8219068838805942,1.3267289166494496,49
AAPL,2016-09-19..2021-09-14,1.0,2.0,6.594131834755879,1.1487272405448976,1.7581870542554872,337
AAPL,2016-09-19..2021-09-14,1.0,3.0,7.005108966419105,1.1079828204420046,1.5912351546705883,242
AAPL,2016-09-19..2021-09-14,1.0,4.0,7.758326682673555,1.197850126515473,1.5198059139232152,205
AAPL,2016-09-19..2021-09-14,1.0,6.0,7.896038224247781,1.1491361081996234,1.8135315146811462,141
AAPL,2016-09-19..2021-09-14,1.5,2.0,6.0101517948699446,0.9880643182885052,2.2099319213139808,268
AAPL,2016-09-19..2021-09-14,1.5,3.0,5.890018311269096,0.8850143294796047,1.8029498182206944,195
AAPL,2016-09-19..2021-09-14,1.5,4.0,6.977337298452513,1.0384001438416794,1.5813839686383446,145
AAPL,2016-09-19..2021-09-14,1.5,6.0,7.30838194771013,1.025917236580616,1.8598365681013296,113
AAPL,2016-09-19..2021-09-14,2.0,2.0,4.6573201763391525,0.728330825962989,2.1121822231075784,241
AAPL,2016-09-19..2021-09-14,2.0,3.0,5.443735583462361,0.7781727402587695,1.7176432581182601,173
AAPL,2016-09-19..2021-09-14,2.0,4.0,6.213935933006898,0.8922641743248142,1.9376593889973588,135
AAPL,2016-09-19..2021-09-14,2.0,6.0,7.12470355633632,0.9742737928868316,2.1750699351575813,105
AAPL,2016-09-19..2021-09-14,3.0,2.0,5.297561351293489,0.7928765122012854,2.631785645561436,192
AAPL,2016-09-19..2021-09-14,3.0,3.0,4.714038101063744,0.6672628425997246,2.658119941060795,130
AAPL,2016-09-19..2021-09-14,3.0,4.0,5.857607750340654,0.8352633637229404,2.326767036134197,111
AAPL,2016-09-19..2021-09-14,3.0,6.0,5.812362182267505,0.7893150895971398,2.759975016534284,87
AAPL,2016-09-19..2021-09-14,4.0,2.0,4.211917851274594,0.6029795465440112,2.8900901120984894,165
AAPL,2016-09-19..2021-09-14,4.0,3.0,4.642936849003254,0.6397888793971381,2.8924046954244695,109
AAPL,2016-09-19..2021-09-14,4.0,4.0,4.365458555663282,0.598529391959378,2.312481236122315,89
AAPL,2016-09-19..2021-09-14,4.0,6.0,5.206330928487346,0.6940492644946102,2.967210632597263,71
AAPL,2021-09-15..2026-09-17,1.0,2.0,3.5728866308713414,0.6397536341308359,1.7331328498876455,338
AAPL,2021-09-15..2026-09-17,1.0,3.0,2.924503655497346,0.5061322074493462,2.1253980367553393,256
AAPL,2021-09-15..2026-09-17,1.0,4.0,2.7817653352491867,0.4727437145602911,1.9898033650965454,211
AAPL,2021-09-15..2026-09-17,1.0,6.0,5.8314905884839785,0.9624898207105602,1.356543064128708,167
